algo,env_id,architecture_signature,updates_per_env_step,segment,n_seeds,mean_energy_kwh,mean_energy_joules,total_flops,mean_energy_per_flop_j_per_flop
sac,Ant-v5,bs256_h1024x1024,2,target_update,5,0.0014233367650796631,5124.012354286787,933888800000.0,5.486747837951142e-09
sac,Ant-v5,bs256_h1024x1024,4,TOTAL_MEASURED_TRAINING,5,0.06491956164246407,233710.42191287066,3757052929600000.0,6.220578370658008e-11
sac,Ant-v5,bs256_h1024x1024,4,actor_update,5,0.03357728839407623,120878.23821867442,1652975206400000.0,7.312767774777098e-11
sac,Ant-v5,bs256_h1024x1024,4,buffer_sample,5,0.002115702671181833,7616.529616254598,0,
sac,Ant-v5,bs256_h1024x1024,4,critic_update,5,0.02730751800502019,98307.06481807269,2101975449600000.0,4.676889296531995e-11
sac,Ant-v5,bs256_h1024x1024,4,rollout,5,0.0011926473802131448,4293.530568767322,234496000000.0,1.8309611118173962e-08
sac,Ant-v5,bs256_h1024x1024,4,target_update,5,0.0028421078631545166,10231.58830735626,1867777600000.0,5.477947860257163e-09
sac,Ant-v5,bs256_h256x256,1,TOTAL_MEASURED_TRAINING,5,0.013479993943893159,48527.97819801537,73680538000000.0,6.5862681673165e-10
sac,Ant-v5,bs256_h256x256,1,actor_update,5,0.006424281133332749,23127.412079997895,32846643200000.0,7.041027583603397e-10
sac,Ant-v5,bs256_h256x256,1,buffer_sample,5,0.00040479489007973283,1457.2616042870382,0,
sac,Ant-v5,bs256_h256x256,1,critic_update,5,0.00536216243078582,19303.784750828952,40776499200000.0,4.734046602713004e-10
sac,Ant-v5,bs256_h256x256,1,rollout,5,0.0011390943293045654,4100.739585496435,19302400000.0,2.1244713535604046e-07
sac,Ant-v5,bs256_h256x256,1,target_update,5,0.0005544560504700247,1996.041781692089,38093200000.0,5.239890011057325e-08
sac,Ant-v5,bs256_h512x512,1,TOTAL_MEASURED_TRAINING,5,0.014070884951538642,50655.18582553911,254813901200000.0,1.987928664291378e-10
sac,Ant-v5,bs256_h512x512,1,actor_update,5,0.006763209147121631,24347.55292963787,112669491200000.0,2.1609712327908222e-10
sac,Ant-v5,bs256_h512x512,1,buffer_sample,5,0.00042906002307169564,1544.6160830581043,0,
sac,Ant-v5,bs256_h512x512,1,critic_update,5,0.005571171872345761,20056.21874044474,141950976000000.0,1.4128975584109222e-10
sac,Ant-v5,bs256_h512x512,1,rollout,5,0.0011539432336218412,4154.195641038628,64819200000.0,6.408896809955427e-08
sac,Ant-v5,bs256_h512x512,1,target_update,5,0.0005825606984494096,2097.2185144178748,128614800000.0,1.6306198932143695e-08
sac,HalfCheetah-v5,bs256_h1024x1024,1,TOTAL_MEASURED_TRAINING,5,0.016489125460770717,59360.85165877458,877517414800000.0,6.764635169354885e-11
sac,HalfCheetah-v5,bs256_h1024x1024,1,actor_update,5,0.008262064452710003,29743.432029756008,384512819200000.0,7.735355115504042e-11
sac,HalfCheetah-v5,bs256_h1024x1024,1,buffer_sample,5,0.00043060376150918893,1550.1735414330801,0,
sac,HalfCheetah-v5,bs256_h1024x1024,1,critic_update,5,0.006826413722408725,24575.089400671408,492358860800000.0,4.9912962591433895e-11
sac,HalfCheetah-v5,bs256_h1024x1024,1,rollout,5,0.000693251032525394,2495.7037170914186,215654400000.0,1.1572700195736413e-08
sac,HalfCheetah-v5,bs256_h1024x1024,1,target_update,5,0.0007073962531265953,2546.626511255743,430080400000.0,5.921280093805119e-09
sac,HalfCheetah-v5,bs256_h1024x1024,2,TOTAL_MEASURED_TRAINING,5,0.03193803676171468,114976.93234217285,1754819175200000.0,6.55206724243076e-11
sac,HalfCheetah-v5,bs256_h1024x1024,2,actor_update,5,0.016375923423280408,58953.324323809466,769025638400000.0,7.66597644864807e-11
sac,HalfCheetah-v5,bs256_h1024x1024,2,buffer_sample,5,0.0008465214548952757,3047.4772376229926,0,
sac,HalfCheetah-v5,bs256_h1024x1024,2,critic_update,5,0.01346848200839001,48486.535230204034,984717721600000.0,4.923901963643104e-11
sac,HalfCheetah-v5,bs256_h1024x1024,2,rollout,5,0.0006981634014548216,2513.3882452373578,215654400000.0,1.1654704217661953e-08
sac,HalfCheetah-v5,bs256_h1024x1024,2,target_update,5,0.001395467928589445,5023.684542922002,860160800000.0,5.840401635277965e-09
sac,HalfCheetah-v5,bs256_h1024x1024,4,TOTAL_MEASURED_TRAINING,5,0.06357969600692995,228886.9056249478,3509422696000000.0,6.522067173208588e-11
sac,HalfCheetah-v5,bs256_h1024x1024,4,actor_update,5,0.03287266357026729,118341.58885296223,1538051276800000.0,7.69425510306642e-11
sac,HalfCheetah-v5,bs256_h1024x1024,4,buffer_sample,5,0.0016867206393001827,6072.1943014806575,0,
sac,HalfCheetah-v5,bs256_h1024x1024,4,critic_update,5,0.027198242296123804,97913.67226604569,1969435443200000.0,4.971661935105246e-11
sac,HalfCheetah-v5,bs256_h1024x1024,4,rollout,5,0.0007091318120279816,2552.874523300734,215654400000.0,1.1837804020232065e-08
sac,HalfCheetah-v5,bs256_h1024x1024,4,target_update,5,0.0027996583285108687,10078.769982639127,1720321600000.0,5.85865455775195e-09
sac,HalfCheetah-v5,bs256_h256x256,1,TOTAL_MEASURED_TRAINING,5,0.012838473964024924,46218.50627048973,58200115600000.0,7.941308328000937e-10
sac,HalfCheetah-v5,bs256_h256x256,1,actor_update,5,0.00638624295787165,22990.474648337942,25663897600000.0,8.958294257041433e-10
sac,HalfCheetah-v5,bs256_h256x256,1,buffer_sample,5,0.00033039480750614075,1189.4213070221067,0,
sac,HalfCheetah-v5,bs256_h256x256,1,critic_update,5,0.005270515042209172,18973.85415195302,32492748800000.0,5.839411823462907e-10
sac,HalfCheetah-v5,bs256_h256x256,1,rollout,5,0.0006328993577594651,2278.4376879340743,14592000000.0,1.5614293365776277e-07
sac,HalfCheetah-v5,bs256_h256x256,1,target_update,5,0.0005488166061846376,1975.7397822646954,28877200000.0,6.841867571179668e-08
sac,HalfCheetah-v5,bs256_h512x512,1,TOTAL_MEASURED_TRAINING,5,0.013419415583479578,48309.89610052648,223853056400000.0,2.1581075048715074e-10
sac,HalfCheetah-v5,bs256_h512x512,1,actor_update,5,0.006694747429522634,24101.09074628148,98304000000000.0,2.4516897324911985e-10
sac,HalfCheetah-v5,bs256_h512x512,1,buffer_sample,5,0.0003455798431232181,1244.087435243585,0,
sac,HalfCheetah-v5,bs256_h512x512,1,critic_update,5,0.005502548881927133,19809.17597493768,125383475200000.0,1.579887297216793e-10
sac,HalfCheetah-v5,bs256_h512x512,1,rollout,5,0.0006463183368771061,2326.746012757582,55398400000.0,4.200023850431749e-08
sac,HalfCheetah-v5,bs256_h512x512,1,target_update,5,0.000575800935152704,2072.8833665497345,110182800000.0,1.8813130239472354e-08
td3,Ant-v5,bs100_h1024x1024,1,TOTAL_MEASURED_TRAINING,5,0.008068432144036014,29046.355718529652,262849844200000.0,1.10505508599155e-10
td3,Ant-v5,bs100_h1024x1024,1,actor_update,5,0.0014678046278563343,5284.096660282803,57159680000000.0,9.244447590124373e-11
td3,Ant-v5,bs100_h1024x1024,1,buffer_sample,5,0.00040929849726750137,1473.474590163005,0,
td3,Ant-v5,bs100_h1024x1024,1,critic_update,5,0.0052659843971725505,18957.54382982118,205107200000000.0,9.24274907454306e-11
td3,Ant-v5,bs100_h1024x1024,1,rollout,5,0.0008531836482311582,3071.4611336321695,232857600000.0,1.3190297991700376e-08
td3,Ant-v5,bs100_h1024x1024,1,target_update,5,0.00048145947077597175,1733.2540947934983,350106600000.0,4.9506467310056376e-09
td3,Ant-v5,bs100_h1024x1024,2,TOTAL_MEASURED_TRAINING,5,0.015164744943315522,54593.08179593588,525466830800000.0,1.0389443937464203e-10
td3,Ant-v5,bs100_h1024x1024,2,actor_update,5,0.0029182359373789756,10505.649374564313,114319360000000.0,9.189737743951954e-11
td3,Ant-v5,bs100_h1024x1024,2,buffer_sample,5,0.0008193115651294807,2949.5216344661308,0,
td3,Ant-v5,bs100_h1024x1024,2,critic_update,5,0.010438271530557748,37577.777510007894,410214400000000.0,9.160521305446102e-11
td3,Ant-v5,bs100_h1024x1024,2,rollout,5,0.0008420048171273974,3031.2173416586306,232857600000.0,1.3017472230490354e-08
td3,Ant-v5,bs100_h1024x1024,2,target_update,5,0.0009662326582514011,3478.437569705044,700213200000.0,4.967683513685609e-09
td3,Ant-v5,bs100_h1024x1024,4,TOTAL_MEASURED_TRAINING,5,0.029461517844088014,106061.46423871686,1050700804000000.0,1.0094354533178491e-10
td3,Ant-v5,bs100_h1024x1024,4,actor_update,5,0.0058226815378995,20961.6535364382,228638720000000.0,9.168024355821359e-11
td3,Ant-v5,bs100_h1024x1024,4,buffer_sample,5,0.0016217313560624278,5838.23288182474,0,
td3,Ant-v5,bs100_h1024x1024,4,critic_update,5,0.02087896632749838,75164.27877899418,820428800000000.0,9.161584622455255e-11
td3,Ant-v5,bs100_h1024x1024,4,rollout,5,0.0008374772630784502,3014.9181470824205,232857600000.0,1.2947475826781778e-08
td3,Ant-v5,bs100_h1024x1024,4,target_update,5,0.0019223927156116843,6920.6137762020635,1400426400000.0,4.941790426260219e-09
td3,Ant-v5,bs100_h256x256,1,TOTAL_MEASURED_TRAINING,5,0.006650106157752504,23940.382167909014,20394317800000.0,1.1738751157397879e-09
td3,Ant-v5,bs100_h256x256,1,actor_update,5,0.0011837888941138796,4261.640018809967,4459520000000.0,9.556275156989915e-10
td3,Ant-v5,bs100_h256x256,1,buffer_sample,5,0.0003222299515440397,1160.0278255585429,0,
td3,Ant-v5,bs100_h256x256,1,critic_update,5,0.004295268269647497,15462.965770730989,15887360000000.0,9.732873032858189e-10
td3,Ant-v5,bs100_h256x256,1,rollout,5,0.0007881257203238082,2837.2525931657096,18892800000.0,1.5017639487877443e-07
td3,Ant-v5,bs100_h256x256,1,target_update,5,0.0003829232736673191,1378.5237852023488,28545000000.0,4.829300351032926e-08
td3,Ant-v5,bs100_h512x512,1,TOTAL_MEASURED_TRAINING,5,0.007285664598176577,26228.392553435675,71000730600000.0,3.694101783430898e-10
td3,Ant-v5,bs100_h512x512,1,actor_update,5,0.0013069264439218831,4704.935198118779,15472640000000.0,3.0408095826690073e-10
td3,Ant-v5,bs100_h512x512,1,buffer_sample,5,0.00034578427207868046,1244.8233794832497,0,
td3,Ant-v5,bs100_h512x512,1,critic_update,5,0.004759263789882196,17133.349643575904,55367680000000.0,3.094467682874902e-10
td3,Ant-v5,bs100_h512x512,1,rollout,5,0.0008049546782689859,2897.836841768349,64000000000.0,4.527870065263046e-08
td3,Ant-v5,bs100_h512x512,1,target_update,5,0.00041451968610351143,1492.270869972641,96410600000.0,1.5478286308483103e-08
td3,HalfCheetah-v5,bs100_h1024x1024,1,TOTAL_MEASURED_TRAINING,5,0.007448896735378724,26816.028247363407,246194484000000.0,1.0892213266387969e-10
td3,HalfCheetah-v5,bs100_h1024x1024,1,actor_update,5,0.0014396524141328758,5182.748690878353,53452800000000.0,9.695934901218184e-11
td3,HalfCheetah-v5,bs100_h1024x1024,1,buffer_sample,5,0.0003598415315156147,1295.4295134562128,0,
td3,HalfCheetah-v5,bs100_h1024x1024,1,critic_update,5,0.005147246458965369,18530.087252275327,192204800000000.0,9.640803586734216e-11
td3,HalfCheetah-v5,bs100_h1024x1024,1,rollout,5,0.00039191920036416635,1410.909121310999,214425600000.0,6.57994717660111e-09
td3,HalfCheetah-v5,bs100_h1024x1024,1,target_update,5,0.00047007866191631307,1692.283182898727,322458400000.0,5.248066674332959e-09
td3,HalfCheetah-v5,bs100_h1024x1024,2,TOTAL_MEASURED_TRAINING,5,0.014647475397998188,52730.91143279348,492174542400000.0,1.0713864064496457e-10
td3,HalfCheetah-v5,bs100_h1024x1024,2,actor_update,5,0.0029074464627641405,10466.807265950905,106905600000000.0,9.79070064239002e-11
td3,HalfCheetah-v5,bs100_h1024x1024,2,buffer_sample,5,0.0007305798336891524,2630.0874012809486,0,
td3,HalfCheetah-v5,bs100_h1024x1024,2,critic_update,5,0.010394310817470656,37419.51894289436,384409600000000.0,9.734283156012327e-11
td3,HalfCheetah-v5,bs100_h1024x1024,2,rollout,5,0.0003976655631672358,1431.5960274020488,214425600000.0,6.676423092214963e-09
td3,HalfCheetah-v5,bs100_h1024x1024,2,target_update,5,0.0009480525545961571,3412.9891965461657,644916800000.0,5.292138763552392e-09
td3,HalfCheetah-v5,bs100_h1024x1024,4,TOTAL_MEASURED_TRAINING,5,0.02836959074584413,102130.52668503887,984134659200000.0,1.0377698390183764e-10
td3,HalfCheetah-v5,bs100_h1024x1024,4,actor_update,5,0.005713162696421975,20567.38570711911,213811200000000.0,9.619414561594111e-11
td3,HalfCheetah-v5,bs100_h1024x1024,4,buffer_sample,5,0.001448433142988432,5214.359314758355,0,
td3,HalfCheetah-v5,bs100_h1024x1024,4,critic_update,5,0.02037872425948082,73363.40733413096,768819200000000.0,9.542348491573956e-11
td3,HalfCheetah-v5,bs100_h1024x1024,4,rollout,5,0.0003834590059879178,1380.452421556504,214425600000.0,6.437908633840847e-09
td3,HalfCheetah-v5,bs100_h1024x1024,4,target_update,5,0.0018942447839534256,6819.281222232332,1289833600000.0,5.286946488471328e-09
td3,HalfCheetah-v5,bs100_h256x256,1,TOTAL_MEASURED_TRAINING,5,0.006109437926360739,21993.97653489866,16230477600000.0,1.3551034711941353e-09
td3,HalfCheetah-v5,bs100_h256x256,1,actor_update,5,0.001166343534899668,4198.836725638805,3532800000000.0,1.1885294173569986e-09
td3,HalfCheetah-v5,bs100_h256x256,1,buffer_sample,5,0.0002897160528426286,1042.9777902334629,0,
td3,HalfCheetah-v5,bs100_h256x256,1,critic_update,5,0.004209191298593061,15153.08867493502,12661760000000.0,1.1967600613923356e-09
td3,HalfCheetah-v5,bs100_h256x256,1,rollout,5,0.0003444948814464477,1240.1815732072118,14284800000.0,8.681826649356042e-08
td3,HalfCheetah-v5,bs100_h256x256,1,target_update,5,0.0003894082114215619,1401.8695611176229,21632800000.0,6.480296406926624e-08
td3,HalfCheetah-v5,bs100_h512x512,1,TOTAL_MEASURED_TRAINING,5,0.006736103238248116,24249.97165769322,62673050400000.0,3.869282171989704e-10
td3,HalfCheetah-v5,bs100_h512x512,1,actor_update,5,0.0012928326839356705,4654.197662168413,13619200000000.0,3.4173796274145425e-10
td3,HalfCheetah-v5,bs100_h512x512,1,buffer_sample,5,0.0003110292976451991,1119.7054715227168,0,
td3,HalfCheetah-v5,bs100_h512x512,1,critic_update,5,0.004665255059151859,16794.918212946694,48916480000000.0,3.433386501429926e-10
td3,HalfCheetah-v5,bs100_h512x512,1,rollout,5,0.00036164741269372456,1301.9306856974083,54784000000.0,2.3764797855165892e-08
td3,HalfCheetah-v5,bs100_h512x512,1,target_update,5,0.0004163680824668616,1498.9250968807016,82586400000.0,1.8149781282156647e-08
tdmpc2,Ant-v5,bs256_h3_ns512_it6_pit24_ne64_nq5_enc2x256_mlp512_lat512_epTrue,1,TOTAL_MEASURED_TRAINING,5,0.13365716795356425,481165.8046328313,1.007693017972e+16,4.774924466591879e-11
